name,role
Coretta Scott King,speaker
Elizabeth Jennings,speaker
Felix Galimir,conductor
John Casey,mime|speaker
Julia Booth,actor
William Grossman,speaker
Marion Punter,conductor
Nancy Kelly,presenter
Barbara Streit,conductor
George S. Olds,reciter
David K. Masunaga,reciter
Ethel C. Hamilton,actor
Dr. Lazare Saminsky,conductor|director
John P. Coughlin,speaker
Reverend Frank M. Clendinnin,speaker
Laszlo Halasz,conductor
Birgit Nilsson,host|presenter
Frisner Augustin,actor
Glory Van Scott,conductor|actor|dancer
Ernest Morton,director
Stefan Solyom,conductor
Richard Lee,conductor
Luis Abraham Delgadillo,speaker
Elena Solovei,actor
Ivan Oransky,speaker
Eddie South,conductor
Jacqueline Suskin,reader|performance artist
George F. Bambach,actor
John W. Keefe,speaker
Janis Ian,speaker
Karen Benker,presenter
Burton Charles Meighan,speaker
C. T. Finley,actor
Richard Glazer,narrator
[first name unknown] DeVives,actor
Terry Sakow,conductor
Margaret Dreier Robins,speaker
Charles A. Jackson,speaker
Tom Shine,conductor
Charles De Carlo,narrator
Hugh Ross,conductor
Stefan Linev,conductor
La Vergne S. Conkey,speaker
May Singhi,dancer
Philip Geiger,conductor
Reesa Graham,speaker
Lyndon Woodside,conductor
Harry B. Soria Jr.,host
O.C. Belden,conductor
A. Bader,dancer
Dave Filsinger,conductor
Reverend Charles Edwin Silcox,speaker
Henry Arnoux,actor
Alfred E. Drake,actor
Charles N. Flagg Jr.,actor
Ron Silver,host
Eduardo Rahn,conductor
Milton Forstat,conductor
Diana Sands,actor
Michelle Ellis,conductor
Po-Wei Lai,conductor
Essie L. Calhoun,speaker
Enrico Bevignani,conductor
Grace Hollingsworth,actor
A.W. Weil,actor
Barbara Walters,speaker|host
Harold Cook,actor
Michael Nuss,conductor
Aimee Bozarth,director
Kelley Faulkner,speaker
Kenneth Zankel,speaker
Tadao Uchida,speaker
Jesús López-Cobos,conductor
Jack Palance,actor
Paul Bogaev,conductor
Martin Yates,conductor
Harvey Benstein,conductor
Matthew Crocitto,conductor
Henry Torres,speaker
Karen S. Martin,director
John Brownlee,speaker|host|narrator
George W. Goethals,speaker
David Stock,conductor
Costas Kazis,speaker
Pieter H. Kritzinger,speaker
Louis A. Deppas,conductor
James T. Meeks,narrator
Diane Koutsulis,conductor
Russell J. Dunn,speaker
Ashley Liang,dancer
Carroll Hollister,conductor
Matti Holli,conductor
James D'Addario,presenter
Arthur Sulzberger,actor
Gene Neal,dancer
Ellen Liy,dancer
Agnes Fizner,actor
Christopher Michael Donnelly,speaker
Martin B. Keller,speaker
Herbert Callmann,actor
Ray Vizcarra,conductor
Charles B. Poor,actor
Mysterious Dunninger,magician
Shinichi Minami,conductor
Tara Simoncic,conductor
George Gleason,speaker
Frances Van Etten,dancer
Steven E. Fox,speaker
J.H. Gifford,actor
Jane Aronson,speaker
Florian La France,clown
Victor S. Wahby,conductor
Kay L. Hatch,director
Susan C. Olson,presenter
Jeronimas Kacinskas,conductor
Bud Beyer,speaker
Tammy Ahmed,conductor
Dorothy Bacon,dancer
Spyros Skouras,speaker
Armand Vecsey,conductor
Gladys M. Ayala,speaker|presenter
John G. McCarthy,speaker
McWalter B. Sutton,actor
Symon Gould,speaker
Charles H. Govan,narrator
Adele Bildersee,speaker
Sylvain Werdenschlag,conductor
Vaughan Trevor,actor
Percy Mackaye,speaker
Elizabeth Hastings,speaker
Caroline Greenfield,actor
Sophie Hecht,actor
Christopher Fludd,conductor
Isabel Onslow,actor
Mrs. Leonard Weber,speaker
Nicholai Beriozoff,dancer
Rita Patane,speaker
Thomas A. Brennan,speaker
Magdalena Vasaryova,speaker
Jimmy Wright,actor
William C. Bitting,actor
William Otis Morse,actor
Elizabeth Ashley,actor
Frank M Harris,speaker
Eulogio Peraza,reciter|narrator
Thurman Ruth,host
Leopold Stravinsky,conductor
Mathilde Gustine Leverich,actor
Jean Stamm,speaker
Herman Clark Mooney,speaker|reciter
Ellis N. Harris,actor
Bruce Browne,conductor
Christopher Tin,speaker
Reverend Eldridge Gittens,speaker
Paul W. Evans,actor
David Hayes,conductor
Sir William Walton,conductor
Tomas Barreiro,conductor
Nancy Dutton,actor
Margy Tillistrand,conductor
Beth Freeborn,speaker
Robert S. S. Baden-Powell,speaker
Frederick W. Coburn,speaker
Elad Shaffer,presenter
Reverend Peter E. Magennis,speaker
Robert C. Bass Jr.,conductor
Laryssa Kukrycka,narrator
Charles Boyer,actor
Kurt Graff,dancer
Rowland Haynes,speaker
Emerson McMillin,host
Corey Chinel Miller,dancer
William Fidelis Reilly,actor
Martha Shaw,conductor
Donald Cordry,puppeteer
Alan Miller,speaker
Daniel Stowe,conductor
David Dubinsky,speaker
Albert S. White Jr.,actor
W.W. Snow,actor
Russell Simmons,speaker
Trafton Pullen,actor
Edna Springer,reciter
David Joel Finkelstein,speaker
George H. Gartlan,conductor|speaker|host|presenter
Kristine Mann,actor
Edward Lyons,actor
Leo Carrillo,actor
Joanna L. Pinckney,conductor
So Young Park,conductor
Juanita Barbazan,actor
Bryan Fisher,director
Edward F. Keating,speaker
Rex Harrower,dancer
Hal Merritt,impressionist
Clarence A. Manning,speaker
Miss [first name unknown] Delgado,actor
Robert Minor,speaker
Theodore Hackett Ward,actor
Caroline Stoessinger,narrator
John J. Anthony,speaker
Mario Bauzá,speaker
Reverend James Zwernemann,speaker|presenter
Thomas Buckner,reader
Lewis L. Caplan,speaker
Martin Saxe,speaker
Tim Page,speaker
Kirk Noreen,speaker
Herbert Ames,speaker
Ethel Speth,actor
Donald C. Morris,conductor
Mark Conley,conductor
Joyce Campbell,conductor
Michael Mailer,speaker
John D. Costello,actor
Harold M. Anderson,speaker
Young Mi Yun,director
G. B. Palmer,actor
Sheridan Morley,speaker|host
Judith James,actor
Florence Fleming Noyes,dancer
John O'Gallagher,conductor
Diane Woodard,conductor
Joseph D. Bryant,speaker
Mary Jo West,conductor
Gainosuke Sugiyama,speaker
John Johnson,host
William Beach,actor
Frances Chaney,speaker
Russell Cote,conductor
Percival Neville Anstey,actor
Anthony D'Agostino,conductor
Allan Lang,puppeteer
Adolph Bloch,speaker
Brigita Alka,conductor
Remo Taverna,conductor
Rose Popkin,dancer
David Eckert,conductor
Pearl Harrison,dancer
David R. White,conductor
Branka Stancevic,speaker
Wendolyn Pazitka Munroe,conductor
Raymond Lee Ditmars,narrator
Lila Levy,dancer
Walter F. Appler,actor
Emily Greene Balch,speaker
Ambrose Francis Becker,actor
Charles Roberts,reciter
Mark Ryan,conductor
Cy Coleman,speaker
Marina Watanabe,dancer
Pamela Gearhart,conductor
Mitch Winehouse,speaker
Victoria Alaimo,conductor
Hideki Yamaguchi,conductor
George G. Mercer,speaker
Kyung Sook Park,conductor
A. Cookman Roberts,speaker
Gibson Morrissey,conductor
Ruth E. Thomas,dancer
Dion A. Muldrow,conductor
Dr. T. F. Gullixson,speaker
H. Vincent Mitzelfelt,conductor
John Viener,actor
Christopher S. Reynolds,conductor
Julie Burns,actor
Maxim Emelyanychev,conductor
Jenny He,host
Hilan Dov Warshaw,conductor
Susan Taylor,reader
Hugh J. Curry,conductor
John Ferrari,conductor
Nicholas Kraemer,conductor
Mayte Bajo,dancer
Julius Lorenz,conductor
George A. Zabriskie,host
Robert Lee Bullard,speaker
Henryk Szeryng,conductor
Lady Ratna Sari Dewi Sukarno,speaker
Max Rubin,speaker
Josie Lloyd,actor
Stephen Catlin,panelist
W.C. Bill,actor
Frank O'Flaherty,speaker
Henry Meyer,speaker
George Raab,conductor
F.G. Gude,reciter
Noble Cain,conductor
Joseph Reilly,actor
Reverend S.L. Baldwin,speaker
Albertus Meyers,conductor
Lisa Smith,sign language interpreter|conductor
Janna Baty,narrator
Russell Beachler,puppeteer
Leo Scheer,conductor
Eric T. Haas,speaker
Archie K. Christie,actor
Vladimir Fedoseyev,conductor
Edwin Irving,actor
Phyllis M. Vincent,conductor
Imelda Martinez,director
Robert Ortone,conductor
Skitch Henderson,conductor|speaker|host|narrator
Jonathan May,conductor
Robert O'Connor,actor
Siegfried Soltys,actor
Julia Lee Pottenger,dancer
Miss Jaeger,actor
E. Rodriguez,actor
Haila Stoddard,actor
Ella Dietz Clymer,reader
Moshe Atzmon,conductor
T. Gaillard Thomas,speaker
Sidney Poitier,speaker|actor|reader
B. F. Chandler,actor
Fredric March,actor
Michael Schwartz,conductor
Vladimir Jurowski,conductor
Reverend Benjamin Plotkin,speaker
Belle Willard Roosevelt,speaker
John A. Brashear,speaker
Laurence Lesser,speaker
Theodore Ganger,conductor
Godfrey Cohen,actor
Zach Dellinger,conductor
Gerhard T. Rooth,host
Roy Atwell,actor
Louise Bybee,dancer
Greg Goodman,conductor
Warren Covington,conductor
Jonathan Yates,conductor
Anechka Deinitzina,dancer
Edwin Franko Goldman,conductor|speaker
Willie Williams,actor
Princess Orelia,dancer
Ralph Ince,actor
Mitchell Newman,conductor
Sterling B. Jensen,mime
Jason Max Ferdinand,conductor
Eugene Franklin Castles,actor
Oscar Hammerstein II,speaker|presenter
Michael Okwu,host
John Tasker Howard,speaker
José E. Delmonte,conductor
Nancy Schoenberger,narrator
Dorothy Dudgeon,actor
Bingiee Shin,conductor
Stewart Cameron,actor
Don M. Randal,host
Ramon P. Buxo,actor
Rebecca Basilio,conductor
Tomonari Nomura,speaker
Eleanor Steber,presenter
Bingiee Shiu,conductor
Leila Gerstein,host
Dr. L. A. Scruggs,speaker
Marguerite St. John,actor
Patricia DeBenedetto,conductor
Carolyne Walker,dancer
Reverend Robert Lewis Paddock,speaker
David M. Booth,conductor
La Petite Madeline,dancer
Travis Treadwell,conductor
John Cooper,conductor
Mendi Rodan,conductor
Alice Smith Jansen,dancer
Seiji Kasai,host
Jacqueline Mayro,dancer
Carmen Sousa,actor
Peter Stafford Wilson,conductor
E. Tornabell,actor
Gabe Basaltan,dancer
John B. Goodwin,actor
Louis D. Gibbs,speaker
Charles Tolliver,conductor
Madeline Dallas,actor
Meredith Monk,speaker
Billy Strayhorn,conductor
Alexis Aladin,speaker
Jennifer Mullen,conductor
Menachem Boreisho,speaker
Edward Owen,speaker
David Dubal,speaker|host
Charles K. Smith,conductor
David Leisner,host
Archibald Stevenson,speaker
Dr. St. Clair McKelway,speaker
Kimberly Roof,conductor
Jimmy Moon,dancer
Howard Hellar,narrator
Bernard Rands,speaker
Jennifer Horn,conductor
Michel Gusikoff,conductor
Meyer L. Brown,speaker
Lou Polan,actor
J. J. Elwyn,actor
Jack Wrangler,speaker
Jeffrey Eichner,speaker
Henry Kyd Douglas,speaker
Sticky Rice,dancer
Ilse Llamas-Medina,conductor
Karina Canellakis,conductor
Sue Ann Kahn,speaker
Abby Imber,mime
Daniel Rash,conductor
John Ratledge,conductor
Bernard Herschkopf,speaker
Ansley Fleetwood,conductor
Nelle Cameron,dancer
Robley Lawson,conductor
Roberta Peters,speaker|host
Joseph A. Phillips,actor
Alfonse M. D'Amato,speaker
Benjamin Wilde Johnston,speaker
Elizabeth G. Nabel,speaker
Hy Jaffe,presenter
Jan Egeland,speaker
F. Raymond Lefferts,actor
George Ganz,conductor
Mark A. Taylor,conductor
Keith Short,speaker
Murray Hulbert,speaker
Mr. [first name unknown] Mair,dancer
R. Winston Morris,conductor
Shana S. Pettinato,speaker
C. Walworth Donovan,speaker
Carl Coleman,conductor
Anna Ludmila,dancer
Eleanor Bennett,actor
V. Vaitkevicius,conductor
Peter Felcher,speaker
Carl Raue,actor
William F. King,speaker
Neil Abercrombie,speaker
Chantel R. Wright,conductor|director
Helen Vincent Sherman,actor
Steven A. Barnhill,conductor
Mr. [first name unknown] Mann,dancer
Andre Messager,conductor
Robert H. Bagnell,actor
James D. Robinson,speaker
Edward Said,speaker
Reuben M. Reynolds,conductor
Beth Malvezzi,conductor
Reverend Frederick Lynch,speaker
Pammie Martin,reciter
Vernon Opheim,conductor
Reverend F. R. Morse,speaker
Susie May Wyburn,speaker
Tim Fodgerud,conductor
Adeline Reyes,dancer
Florence Ballin,actor
Adam Kilgour,narrator
Todd Nichols,conductor
Robert J. Roos,actor
William Sand,conductor
Robert M. Glickman,speaker|presenter
Misail Speransky,conductor
Ralph E. Samuel,host
J.C. Monaghan,speaker
Michael Appling,conductor
Dan Petrotta,actor
Oskar Fried,conductor
Mario Vargas Llosa,speaker
Paul Le Clerc,speaker
Deepak Maharaj,dancer
Randy Nelson,conductor
Nolan Haims,director
Jeanne Maxon,conductor
M. H. Vakasian,actor
Philippe Lanier,speaker
Frederic A. Delano,speaker
Sumika Hanabusa,dancer
Warren R. Richards,actor
Ryan Francois,dancer
Eleanor Rodman Townsend,actor
George Whitefield Mead,speaker
Theodore Douglas Robinson,speaker
Erica Duncan,dancer
Charles DePaul,conductor
Kari Ala-Pollanen,conductor
Helen Remson,actor
Robert D. Petty,speaker|host
Henry J. Coggeshall,speaker
Albert Crichlow,speaker
Donald Neuen,conductor
La Sylphe,dancer
Marc-Andre Bougie,conductor
Niall Crowley,conductor
Antonio Janigro,conductor
Walter G. Hildebrant,speaker|actor
Vato Jordania,conductor
Marshall Crenshaw,reader
Jeordie Graham,dancer
Kyla Lloyd,dancer
Jon Pilatzke,Irish step dancer
Irene Hunte,narrator
Lorraine Lynch,conductor
Tom Viola,speaker
Tom Shirley,host|announcer
Charles Jaffe,conductor
Shawn Spiess,conductor
Kathleen Hipp,conductor
Shulamit Hoffmann,conductor
Paul Harris,conductor
Irfan Muhammad Khan,director
Rocky Groce,speaker
Patrick H. McCarren,speaker
Chad Zullinger,conductor
Alim Qasimov,speaker
Christopher Shepard,conductor
Veronica Keel,dancer
Reverend William Howard Melish,speaker
Natalia Arostegui,reader
Earle A. Wayne,conductor
Terry Hicks,conductor
James A. Colvin,speaker
George Georgescu,conductor
Alice M. Van Ronk,actor
Joseph R. Pfeifer,speaker|presenter
Charles Dutton,speaker
Peter Deign,dancer
Philippe Herreweghe,conductor
A. Clyde Roller,conductor
Jean-Claude Casadesus,conductor
Freddie Sibell,actor
James R.B. Mulligan,speaker
Morna Edmundson,conductor
John Ortengren,conductor|director
Dr. Michael Stewart,speaker
Johnny Kahn,host
Cristian Macelaru,conductor
Shirley Singer,dancer
Hans Kindler,conductor
Sir Malcolm Sargent,conductor
Emmy-Lou Bohl,dancer
Tom Mboya,speaker
Minnie A. Lee,actor
Emma Zeltner,dancer
Lennie Hayton,conductor
Amy Woody,conductor
Tali Esen Morgan,conductor
Ben Gold,speaker
Richard Hale,reader|narrator
Eugene Sweetland,actor
Elizabeth Case,actor
Katya Minassian,dancer
Luba Kadison,actor
Frank Ticheli,conductor
Richard Wilson,speaker|reader
Frank Lemmon,dancer
Sunny Joy Langton,speaker
Kresimir Batinic,conductor
Tito Capobianco,speaker
F. Eugene Mikell,conductor
Marian Anderson,speaker|presenter|narrator
Celci Trene,actor
Toshiya Nakamura,conductor
Arturo Correa,actor|host
Matthew D. Netto,conductor|director
James Ledbetter,conductor
Elisa Pensler,actor
S. Burns Weston,speaker
Adam Sandler,comedian
Edward Vincent Fitzgerald,actor
Sylvanus George Levy,speaker
Guillermina Reis,dancer
William J. Guard,speaker
Leo Braun,conductor
Reverend E. E. Tyler,speaker
Klaus Biesenbach,speaker
Charles E. Mitchell,speaker
Richard Hartley,conductor
Allen Reno,host
Emil Cooper,conductor
Lowell Thomas,speaker
John Mandia,dancer
Martha L. Maynard,actor
Angela Y. Davis,speaker
Harry Quintyne,dancer
Leon Brown,actor
Gustave Ferri,presenter
Lee H. Pritchard,director
James A. Reed,speaker
Jeffrey Edom,conductor
Ian Robertson,conductor
Guy Ferrari,conductor
D. Jason Bishop,conductor
Brandon Slovak,conductor
H.C. Falk,actor
Sung Wook Kim,conductor
Margaret Knoesel,speaker
Parmal Santiago,speaker
Victor O'Dwyer,speaker|actor
Nathan A. Langfitt,conductor
Myra Baeder,actor
Juliet Endly,dancer
Brent Farmer,conductor
Jack Levine,speaker
Hokoshin Shinomori,dancer
Andrea A. Coln,rapper
Nana Silo,actor
Charlotte Bloecher,reader
Eleanor Reissa,actor
Ki Cheon Hong,conductor
Hamilton Benz,director
Jeffrey Eliason,speaker
Helen Moller,dancer
E. Maurice Fitzgerald,actor
Reverend Yo Han Park,speaker
Anthony Dias Blue,host
Eric Moe,conductor
Ruth Thomas,actor
Nicholas Cagle,conductor
Janice Mayer,panelist
Bernhard Rank,actor
Eugene Minor,conductor
May Gleason,reciter
Edward B. Page,conductor
Dr. Robert Henderson,speaker
Harold Thorndike Sibley,actor
Luther D. Wishard,speaker
Herbert Stein,actor
Ray Potter,actor
Willard Simms,comedian
Roberto Bauza,folk dancer
Ione Page,actor
Ramon Senuer,actor
Ping Hua,dancer
Jiang Fugao,dancer
Carola Gremlich,dancer
Myunghee Yun,conductor
Mrs. E. W. MacDonald,actor
Corinne Roosevelt Robinson,speaker
Gertrude Minturn Pinchot,host
Helen Jefferies,dancer
George Brengle Hare,actor
Ana Maria,dancer
Hal Linden,actor
John Franklin Fort,speaker
Hal Coon,actor
Suzi Johnsen,conductor
Ella Gellahovitou,actor
Black Thought,rapper
Marie Mack,actor
James Patrick Hanley,speaker
Craig Miller,conductor
Reverend Robert W. Patton,speaker
Craig Millet,conductor
George L. Peabody,speaker
John Watson,actor
Clinton G. Abbott,actor
Bola de Nieve,comedian
Mrs. C.B. Buell,speaker
Joseph W. Cook,actor
Domingo Alvarado,flamenco singer
Conrad Nagel,speaker
Kamenko Beric,conductor
Golda Meir,speaker
Jerry Colonna,comedian
C.G. Rourke,speaker
Redentor Romero,conductor
Alla Nazimova,reciter
Susan Rice,speaker
Isaac C. Naggar,speaker
Stephanie A. Henry,conductor
Matt Mitchell,speaker
Burgess Meredith,actor|reciter|narrator
Hope Hampton,actor
Rose Schaeffel,dancer
Dr. W.R. Shepherd,speaker
Georgie Shippen,actor
Charles Hazlewood,conductor
Jessie A. Pownall,actor
Claudia Palmira Acunto,speaker
William Carlson,speaker
John Wills,conductor
Alain Frogley,moderator
Ed Anderson,dancer
Francesco De Biasi,speaker
Alfred E. Smith,speaker
Fernando Somoza Vivas,speaker
Bryna Weis Vener,conductor
Fred B. (Fred Burton) Smith,speaker
Philip Greenleaf Carleton,speaker
Eric Williams,conductor
Gary Garner,conductor
Robert Collitt,speaker
Michael Dadap,conductor
Fred King,host
A.D. Papazien,speaker
Alan J. Dubrow,host
Lisa Green,dancer
Peter Philip DeSalvo,conductor
Leslie W. Hicken,conductor
Lloyd Carter,conductor
Nicholas D. Avksentieff,speaker
Kiyomitsu Obana,conductor
Lee Hays,host
Nicholas McGegan,conductor
Carolyn Helmstetter,actor
Lani Hidalgo,dancer
K. Boyd Remley,conductor|director
William H. Seibert,speaker
Rodney To,actor
Kenneth G. Mills,conductor
John Mulholland,magician
J. Ashpis,speaker
Tom Sancton,speaker
Ryan Berkseth,conductor
George Chase,speaker|host|presenter
Isabella Gardner,actor
Reverend Charles. F. Aked,speaker
Ruggero Leoncavallo,conductor
Ernest Kalibali,narrator
Billy Glason,host
Johan Nykopp,speaker
Mario Bernardi,conductor
William English Walling,speaker
Rudolph C. Pokorny,speaker
M. C. Mason,actor
Tom Skeyhill,speaker
Jeff Haeger,conductor
Henry L. Hobart,speaker
David A. Reed,conductor
Skylar Astin,actor
Yaron Gershovsky,conductor
George Anselm Brown,conductor
Aryeh Nesher,speaker
Paramahansa Yogananda,speaker
Colin Gee,actor
Ralph V.D. Magoffin,host
Jerry Blackstone,conductor
Kittson O'Neill,dancer
Paavo Carey,conductor
Evelyn Arklay,actor
John L. Swenson,conductor|director
Stefan Schnabel,actor
Martha Brauer,actor
Rebecca Van Rensselaer,actor
Shinjiro Shimizu,speaker
John Stuhr-Rommereim,conductor
Kim Vaeth,speaker
Leonlani Kim,dancer
Ira Glass,speaker
Tremon Kizer,conductor
Carl Soyland,speaker
Christopher A.J. Roman,presenter
Angela Lind,conductor
Rob Myers,conductor
William P. Trent,speaker
Lara MacLean,puppeteer
Phyllis Rodriguez,dancer
C. Wilfred Gethryn,actor
Jeffrey Renshaw,conductor
Frederick Heyne,conductor
Fatou Camara,dancer
Lindley Zachariah Murray,actor
Jaime Flores,host
Max Amberg,actor
Edward L. Nittmeyer,actor
Christopher Lanz,conductor
Gail A. Brechting,conductor
Doris Humphrey,dancer
Edward Emerson Barnard,speaker
Michael T. Privitello,conductor
Katherine Ruth Heyman,actor
Dorothy Harwood,dancer
Charles Laughton,actor|director
Johanna Yunker,conductor
E. J. Cohen,sign language interpreter
Lou Harrison,conductor|speaker
Antal Kovach,ballet dancer
William Phillips Hall,speaker
Kristin Kuhr,speaker
Judith Fibich,dancer
Bonnie Bird,dancer
Samuel D. Hollis,actor
P. de Buxo,actor
Chinin de Triana,flamenco singer
Valerie Dade,dancer
Arielle Meier,dancer
Mary Ware Dennett,speaker
Norman Corwin,reciter|presenter
Abraham Gruber,speaker
Myung Whun Chung,conductor
Allie Ross,conductor
Whitelaw Reid,speaker
V. V. Sakayan,actor
Bill Palmer,conductor
Juan Pablo Izquierdo,conductor
M. M. Alden,actor
M. Minasian,actor
Renee Butts,conductor
James LaBrecque,conductor
Norma Raybon,conductor
Arthur S. Lyon,fencer
William Thomas,conductor
W. Palmer,actor|dancer
George M. Cohan,conductor
Carlos de Vega,dancer
Kevin Riehle,conductor
Shelton Lewis,actor
[first name unknown] Dormida,actor
Will Ames,host
Emil Paur,conductor
G.E. Marchand,speaker
Jose O. Garcia,dancer
Reverend James R. Day,speaker
Freiheit Mandolin Orchestra,chamber orchestra
Robert B. Anderson,reciter
Reuben Saltzman,speaker
Norma Pace,speaker
Jeong Jin Lee,conductor
Tim Tavcar,narrator
P.F. McGowan,speaker
Seymour Halpern,presenter
Richard F. Guillen,conductor
John Dix,actor
William Brewer,speaker
James Morrisson,conductor
[first name unknown] Hayes,actor
Emily Conner,actor
M. Rosenfeld,speaker
William Coleman Hughes,speaker
Claude Woolman,narrator
Marta Becket,dancer
Ron Simon,moderator
Emmy Stanley,host
Jack R. Ergo,conductor
Arno C. Gaebelein,speaker
D. McKee,speaker
Reverend Serene Jones,speaker
Ernst Mosch,conductor
George B. Loud,speaker
Maia Zander,conductor
Dr. Madeleine Pelner Cosman,narrator
Miss [first name unknown] Collins,actor
James E. Martine,speaker
Edwin McArthur,conductor
John W. Davis,speaker
Richard Strauss,conductor
Henry Greenwell,actor
Wilhelmina Howard,dancer
Grace Merritt,actor
Ray Sherman,speaker
Narada Michael Walden,conductor
Frederic C. Walcott,speaker
Willis W. Memminger,actor
Mel Bochner,speaker
Deanna Loertscher,conductor
Peter Herman Adler,conductor|conductor
Matthew Hazelwood,conductor
James John,conductor
Thomas J. Wall,speaker
Kuei-chiu Chen,presenter
Josef Totzauer,conductor
Edward King,speaker
Beth Cachat,dancer
Billy Carter,comedian
Ernst W. Meyer,speaker
Edwina Handy da Costa,speaker
Liliane Montevecchi,dancer
Jerry Jordan,conductor
Irene Rooke,actor
Robert Black,conductor
Ernest W. Butterfield,speaker
Louis C. Whiton Jr.,actor
Rolf Kristian Stang,speaker|narrator
Jeanine Tesori,speaker
Rui Massena,conductor
Riccardo Chailly,conductor|speaker
Mason A. Stone Jr.,actor
Woody Herman,band leader
Kofi Awoonor,speaker
Allen Tilton Hopping,actor
Reverend Edler G. Hawkins,speaker|narrator
James A. Forbes,speaker
Emma V. Sheridan,actor
Ernest Hoetzl,conductor
Dr. John Peterson,director
Joseph A. Warren,speaker
Colbert P. Howell Jr.,conductor
Barbara Barrie,speaker
Katie Cangolesi,actor
Julio Brown,actor
Kevin Kellim,conductor
Milt Korn,conductor
Floyd B. Wilson,speaker
Reverend Merle St. Croix Wright,speaker
Tatiana Kats,conductor
Laurie D'Amico,conductor
Lola Weinstock,dancer
Jerrold Fisher,conductor
Charles William Becker,speaker
Peter A. Eklund,conductor
C. J. Hambro,speaker
Barry Manilow,conductor
Mabel Mordaunt,actor|dancer
Mabel Ford,actor
Choon Kil Lee,conductor
Morgan Wallace,actor
Raymond Massey,speaker
Sylvia Pankhurst,speaker
John Westley,actor
Jeanette Howard,presenter
Sheryl Monkelian,director
Joseph W. Bryan,speaker
John Temple Graves,speaker
Paul Prentice,speaker
Carmencita Lopez,dancer
Michael Barrett,conductor|host
Robert Kapilow,speaker
Webb Raum,actor
Ruth Fugistaller,dancer
Albert Reid,dancer
Ramesh Kumar,dancer
Rihanna,speaker
Eduard van Beinum,conductor
Leon Fleisher,conductor|speaker
Gore Vidal,actor
Robert Baustian,conductor
Dugald White,actor
Spiros Djifos,actor
Reginald Okie,reciter
Joseph Nassar,conductor
Yong Soo Chy,speaker
Alistair Begg,speaker
Mrs. Thomas Slack,speaker
Louis Ph. Koch,conductor
John H. Marsching,actor
Mrs. Alfred B. Spanjaard,speaker
Roy Harris,conductor
Albert D. Shaw,speaker
Eric Altheide,narrator
Steven Altinel,conductor
Peter Hartman,actor
Joseph Jordan,conductor
DeWitt Mott,actor
Michael Ingram,actor
Frederic R. Condert,speaker
Jill Andre,actor
Taylor Branson,conductor
Miss [first name unknown] Ingraham,actor
Justin DiCioccio,conductor
Christopher Riddle,conductor
Alexander Koshetz,conductor
Stanislaw Khorkov,dancer
Margaret Hollinger,actor
Bruce Bairnsfather,speaker
Rosita Flores,actor
Allan Patrick Cambell,actor
D. Wolf,speaker
Frances Bacon,dancer
Debora Shereshevsky,speaker
Francis J. McConnell,speaker
Edwina L. Paul,actor
Winford H. Smith,speaker
Erno Rapee,conductor
Mabel Hurd,actor
Gabriela Granados,dancer
J.B. Salutzky,speaker
Charles Glass,speaker
Asadata Dafora,dancer
James Guthrie,conductor
Eleanor Field,dancer
Laura Clandon,dancer
Gregory Millar,conductor
Frank Crosswaith,speaker
Catherine Fish,conductor
Serge St. Juste,dancer
Edwin Dewitt Solenberger,speaker
Allen C. Lannom,director
Ernesto Gonzalez,actor
Barbara Purdy-Guess,conductor
Charles Munch,conductor
Horace Wilson,actor
John Scandone,conductor
Max Kay,speaker
Brad Arnold,conductor
Nagaraj Gabbur,presenter
Evgeni Svetlanov,conductor
Angela Suraci,director
Marion Short,speaker|reader
Erik Nishimori,conductor
Barbara Andres,ballet dancer
Neil Cooper,speaker
Edwin MacKay Davis,speaker
Emil G. Hirsch,speaker
Dennis J. Loy,conductor
Theodore Antoniou,conductor
Scott Schumacher,conductor
Jock Elliott,speaker
Evelyn J. Halpert,speaker
Horace G. Gilliland,speaker
Patrick M. Dalton,conductor
Jason C. Tramm,conductor
Krassimira Ivancheva,conductor
Larry Mellone,conductor
S. Rosensweig,actor
Grant Mitchell,actor
Andy Thomas-Anselmo,narrator
Dr. Frank Kingdon,speaker|narrator
Will Daines,conductor
Blanquita Baralt,actor
Winifred Holt,speaker
John Joseph Barrett Jr.,speaker
H. W. Albert,conductor
Alexander Walters,speaker
Lily Mahlman,dancer
Miguel Harth-Bedoya,conductor
Daniel Vandersall,conductor
Diane Nichols,speaker
Yerra Sugarman,reader
Jim Van Zandt,conductor
Mrs. William Milliken Richards,actor
Edelmira Culmell,actor
Reverend H. M. Warren,speaker
Catherine Moore,presenter
William Fitzgibbon,dancer
Wes Kenney,conductor
Eddie Barefield,conductor
Reverend R. Heber Newton,speaker
Evelyne Kraft,dancer
Dr. Soo Kwan Hwang,speaker
John P. Lynch,conductor
Susan Hau Chor Cheng,speaker
Virgil Thomson,conductor|speaker|narrator
Daisy Rogers,actor
Simon Platford,conductor
Thomas Chalmers,narrator
Joseph Henry Tonyan,actor
Melville W. Fuller,speaker
José Lerma,painter
Helen Voultsos,actor
Jack Frankel,host
Michael Haefliger,speaker
Rudolph L. von Bernuth,actor
Nate White,conductor
Ann Francis Garnett,dancer
Joseph P. Day,speaker|presenter
Arleen Hurtado,dancer
Borjan Canev,conductor
James Hile,conductor
Michael Gormley,conductor
Frederick Rey,dancer
Katherine King,dancer
Anita Villar,dancer
