name,role
Symphony Sid Torin,host
Charles Dodsley Walker,conductor
Hubert T. Delany,speaker
James R. Bartley,speaker
Ruth Gottschall,dancer
Brian Reich,conductor
Giulio Svegliado,conductor
[first name unknown] Raters,actor
Edward Kim,speaker|host
Kayoko Nakamura,dancer
Thomas J. Fallon,actor
Alva Peck,actor
Clifford Townley,actor
Sukeyasu Shiba,director
Richard Pittman,conductor
Carl S. Lawton,actor
Josef Blant,conductor
Toei Tsurugikai,actor
Evan Bayh,speaker
Dr. Abba Hillel Silver,speaker
Philander C. Knox,speaker
Raphael Kuhner Wupperman,actor
Maurice Levine,conductor
Rachel Kueny,presenter
David Aurelius,conductor
Takeshi Inomata,conductor
Walter Susskind,conductor
Rosa Mitchel,dancer
Mordechai Sheinkman,conductor
Walter Murphy,conductor
Rose Greenberg,actor
William Shookhoff,conductor
Kim Stanley,actor|reader
Irene Marmein,dancer
Robert E. Pearce,actor
Michael A. Allard,conductor
Madeline Casparie,conductor
Jacqueline Moise,dancer
Carmelo Fuentes,actor
Iolani Yamashiro,conductor
Renato Fasano,conductor
Cutler B. Whitwell,actor
Reverend John Wesley Hill,speaker
Paul Larson,conductor
Mike Lupica,speaker
Neil Grover,conductor
Joyce Brown,conductor
James Kusserow,conductor
Laura Crane Burgess,actor
Joseph Meilich,speaker
William M. Levay,conductor
Dr. John S. Garns,speaker
Rockwell Kent,speaker
David I. Lipps,conductor
Vincent Stuyvesant Lippe,actor
William Farnum,speaker
James H. Maurer,speaker
Nicholas Muller,conductor
Meg Griffin,speaker|host
Kimcherie Lloyd,conductor
Myrtle A. Merrell,dancer
Mark Foley,speaker
Joseph Sansone,director
Ebba Sparre,dancer
Peter Burian,speaker|conductor
Lihua Tan,conductor
Glen Cortese,conductor
Cesar Chavez,speaker
Joshua Gersen,conductor
William Byrd,conductor
Dawn Morton-Rias,speaker|presenter
John A. Gosling,conductor
E. Richardot,actor
Charles Henry Brent,speaker
Robert Ricks,conductor
Kenneth I. Chenault,speaker|presenter
W.F. Frame,actor
Jan Ciechanowski,speaker
Alexis Gagarin,dancer
Dr. Christian Bode,speaker
Ruby Dee,speaker|actor|host
George E. Waring,speaker
Giorgio Federico Rocchini,conductor
Robert C. Dee,conductor
Emil Valentine Kehrlein,actor
Marie L. Ranke,speaker
Florence Wilburham,actor
Young Eun Choi,conductor
Felix Nowoeijski,conductor
Mitzi Mayfair,tap dancer
Maud F. Jasper,speaker
Helen Hobart,actor
James Taylor,speaker
Esmond O'Brien,actor
Kent A. Krause,conductor
Franz Winkler,conductor
Ronald Malabed,conductor
Sigrid Undset,speaker
David Anthony Dehner,conductor
M. Dinsmore,dancer
Dr. James W. McRoy,conductor|host
Stanley Wicks,conductor
James W. Dragovich,conductor
Jacques Pepin,speaker
Kevin Jenkins,conductor
Frieda Louise Andrews,conductor
Joseph Ohrt,conductor
Robert L. Niles,actor
Robert Crowder,conductor
Max Isaacson,reciter
Reverend Henry P. Lyman-Wheaton,speaker
Alberto Erede,conductor
Michael Douglas,speaker
Hon. John C. Dancey,speaker
Mildred Maloney,actor
Kate Mailer,speaker|actor
Yolanda Casazza,dancer
Jorge Ramos,host
Charles Bardswell,dancer
Florence Nash,reciter
Dr. Robert G. O'Meally,narrator
Mary Elliott Brown,actor
Annie Besant,speaker
Theo Jamison,dancer
J. Frank Hanly,speaker
Lisa Greene,conductor
Margaret Clark-Golden,speaker|presenter
Herbert Bancroft Smithers,actor
August Lindberg,actor
Reverend Frank B. Makepeace,speaker
Sir Robert L. Poston,speaker
Simon Burke,host
Stephen Peterson,conductor
John J. McCook,speaker
Thomas Paul,narrator
Jonathan Sheffer,conductor
Elizabeth Murray,actor
R. Wendroff,actor
Seth MacFarlane,actor|comedian
Harlan Eugene Read,host
Jack Carter,comedian
Reverend Ildefonso Izaguirre,speaker
Tex McCrary,speaker|actor|host
Elmo L. Gridley,actor
Shane McElveen,conductor
Morty Storm,comedian
David Martins,conductor
Lisa Fielder,director
Christa Ludwig,speaker|host
Maud Patterson,actor
Theodore Levin,moderator
Thomas Denny,speaker|host
Wendy Wasserstein,reader
Maureen McLeod,presenter
Ariel Millais,dancer
James A. Coveney,actor
Lou Diamond Phillips,actor
Kay WalkingStick,speaker
Marguerite Travis,actor
Yannick Nezet-Seguin,conductor
Algernon Lee,speaker
Max Jacobs,conductor
Eberhard Friedrich,director
Elvis Mitchell,host
Jacob Worth,speaker
Monika Wolinska,conductor
Percy Haswell,actor
Bela Berkes,conductor
Edward V. Bonnemere,conductor
Gisela Garcia,host
Arthur F. Hetherington,actor
Wolfgang Hamel,speaker
Harry Coble,dancer
Kevin C. Kiley,speaker
Andrew Clancy Feeney,actor
Inez Bybee,dancer
Joseph Clarkson,speaker
I. Holdum,actor
Gary Griffiths,conductor
Xiao Bing,director
Dr. Miguel Andujar,speaker
Theodore Slevin Farrelly,actor
Pablo Casals,conductor
Lila Paris,actor
Hiromi Terazaki,director
Young Soo Kim,conductor
Giovanni Rozzino,dancer
Una O'Connor,actor
Herve Maxi,dancer
Jean Butler,dancer
James Lewis,actor
William J. Carr,speaker
Portia Maultsby,speaker
Stefan Lano,conductor
Ann Foucar,dancer
Gaston Bell,actor
Barbara McDonald,dancer
Karl Boehm,conductor
David M. Lutken,narrator
HK Gruber,conductor
Ernabel Demillo,speaker
James Sammons,conductor
Evan Spritzer,narrator
Raymond S. Smoot,actor
Keith Chambers,conductor
Natalie Laimbeer,speaker
J. G. Whitfield,host
Albert Ralph Parraga,actor
Victoria Kriner,dancer
Lyman J. Gage,speaker
Benny L. Bolden,conductor
Margaret Walker,dancer
Benjamin F. Tracy,speaker|host
Denise Donshes,ballet dancer
Hilda Luyties,actor
William O'Shaughnessy,speaker
William Bisbee Thompson,actor
Ada Proctor Van Heusen,actor
Marian Stone,actor
Daniel E. Kennedy,actor
Charles I. Herzberg,actor
Alan Grant,host
Reverend A.B. Simpson,speaker
Antoinette Funk,speaker
Eugene Ettore,conductor
Fred A. Lucas Jr.,speaker
Ballet Hispanico,ballet dancer
Robert De Cormier,conductor
Gustav T. Heil,conductor
Richard B. McGlynn,yodeler
Madeleine Fisk,dancer
Chong-Chul Lee,conductor
Harry H. Melick,actor
Max Peterson,director
Dave Marsh,speaker
Fred Porcelli,actor
Angelo Moreno,conductor
Melissa Chiu,moderator
Philip Fortenberry,conductor
Francis Biddle,speaker
Anthony Mulieri,speaker
Gail Vehslage,conductor
Brian Stokes Mitchell,narrator
Patricia Clare,actor
Amber Dudley,conductor
Leon Blum,speaker
Marc J. Whiten,speaker
John Proctor Clarke,speaker
Werner Herrmann,dancer
Jack Reid,speaker
Ada Korvin,dancer
Eva Swain,dancer
Robert Nester,narrator
S. Valentine Farrelly,actor
Michele Cipolla,fencer
Ralph Matesky,conductor
Irena Manukyan,speaker
[first name unknown] Chadwick,actor
James White,comedian
Florence J. Sullivan,speaker
Tim Robichaux,conductor
Dorothy Bird,dancer
Robert Barkeley Ludington,speaker
Gloria LeRoy,actor|dancer
Candace Wicke,conductor
"Russell ""Skee"" Farnsworth",conductor
Dianne Wiest,actor
Mildred Terhune,magician
Charles Taylor Shepard,actor
Madeline Delmar,actor
Michael Martin,conductor
Pooja Rajesh,dancer
Caroline Copeland,dancer
Zelda Lerner,actor
Emily Gates,conductor
Enver Bey,speaker
Benjamin Levine,ballet dancer
Bill Clifford,conductor
Lenna Wood,actor
Carlos Chavez,conductor
P.K. McHardy,presenter
James Stageberg,speaker
Sidney L. Gulick,speaker
E. V. Hill,speaker
John Brooks Leavitt,speaker
Manolo Barros,dancer
Gregg Burge,dancer
Modest Altschuler,conductor
Anton Nanut,conductor
Jane Fonda,narrator
Reverend J.S. Chadwick,speaker
Rachel Alexander,director
Clarence E. Manion,speaker
Donald Robertson,actor
Ben Foster,speaker
George Rhodes,conductor
Marchioness de Lanza,reader
Henry Ford,speaker
Cornell Ivey,dancer
Britta Baron,speaker
Itzhak Perlman,conductor|presenter
Theresa Schneider,dancer
Reverend Christian F. Reisner,speaker
Reverend John Henry Barrows,speaker
Allen Anderson,conductor
Robert Ireland,presenter
James B. Welch,conductor|director
Karine Plantadit,dancer
Tyra Banks,speaker
Walter Riback,speaker
James Jordan,conductor
Stephen Kowalchik,conductor
David Hughes,conductor
E. Vail Watson,actor
Arnold Volpe,conductor
Burritt N. Wheeler,actor
Mrs. Hardin Burnley,speaker|reciter|impressionist
Sean Grissom,speaker
Paul Christian Wolff,actor
Maria Koleva,conductor
George E. Chamberlain,speaker
Lucky Millinder,conductor
J. Scott Cooksey,conductor
Allen Hightower,conductor
Bernard Herrmann,conductor
Mrs. LeRoy Jones,actor
Michael Adelson,conductor|speaker
Delight Weston,dancer
Eva Belden,actor
Lorena Iniguez,dancer
Harold Lyons,dancer
Ed Sala,actor
Eugene Boguslav,conductor
Deepak Goyal,presenter
William Kennedy,speaker
Carlos Surinach,conductor
Bernard Murphy,speaker
Martha Radelfinger,dancer
Marion Lawrence,speaker
Doris Patston,actor
Rosa M. Gil,speaker
Wesley Martin,conductor
Jackie Mason,comedian
Angela Kelly Molloy,speaker|host
Reverend Myung Koo Jeon,speaker
Thelma Oliver,actor
Sheldon Bair,conductor
Jacob Weinberg,speaker
Nan C. Sullivan,dancer
Duncan H. Brown,reciter
Mihnea Motoc,speaker
Ned Ellis,conductor
Donia Rivera,conductor
Raffael Adler,conductor
Kevin Collins,conductor
T.J. (Tom) Jaramillo,sign language interpreter
Peter J. Brady,speaker
Janeal Crabb Krehbiel,conductor
Christopher Doane,presenter
Seth Low Pierrepont,actor
Howard M. Peck,actor
Robert M. McElroy,speaker
G. Segal,dancer
Reverend Father Cleary,speaker
E. Roscoe Mathews,actor
Elmer Tyree,reciter
Violette Blackton,dancer
William Bales,dancer
Darius Milhaud,conductor
Ernest Hemingway,speaker
Matteo Vittucci,dancer
F. A. Fennessy,reciter
George Rutherford,dancer
Tyler Morrison,conductor
Jerry F. Junkin,conductor
Florence Dowling,dancer
Martin Kirschenbaum,conductor
Alfred Joseph O'Kieff,actor
Roy O'Loughlin,host
John Cage,speaker
Owen Aloysius Smyth,speaker
Emma Brennan Ince,actor
Eui Gu Hwang,conductor
H. Storch,dancer
Gretl Claggett,actor
John Berger,panelist
Giuseppe Patane,conductor
Gertrude Niesen,actor
Stanislaw Wislocki,conductor
Dr. Tony E. Nicolas,speaker
Christopher A. Frazier,conductor
Michael F. Conry,speaker
Deane Pratt,actor
Pete Barbutti,comedian
Alexander Kahn,speaker
Louis Horst,conductor
Chris Czarnecki,narrator
Elaine Russell,conductor
Guy Lombardo,conductor
Michael Maule,dancer
Bishop [first name unknown] Fellows,speaker
Kirby Shaw,conductor
John R. Hamilton,actor
B. McFadden,dancer
N. Biesenthal,narrator
Bert Wheeler,comedian
Emelina Vivo,actor
Lucien L. Bonheur,speaker
Ruby Streate,dancer
Eduard Morike,speaker
G. DeG. Catlin,actor
Happy Felton,conductor
Ina Alice Kissel,actor
Barrows Dunham,speaker
Ethel Russell,actor
Edward Cannava,conductor
Ruth A. Johnsen,conductor
Reverend N.D. Cook,speaker
Miss [first name uknown] Sturtevant,actor
Edna Nahon,actor
Manuel Viotti,speaker
Bella Gudinsky,actor
Suzzanne Douglas,speaker
Bill White,director
Clara Dingwall,dancer
Onyedikachukwu Kenechi Momah,speaker
Diane Kabram,narrator
Kwan-Sup Lee,conductor
Marcus Garvey,speaker
Daniel Jeong Jin Lee,conductor
Mario Cortez,conductor
Tyler Brinkman,conductor
Evan Ziporyn,speaker|director
W. B. Riley,speaker
Bolton Hall,speaker
Shanti Simon,conductor
Andrew Meltzer,conductor
Stillwell Nevius,actor
Rhoda Jones,conductor
Shannon Lambert-Ryan,dancer
Mr. [first name unknown] Griswold,actor
Dennis Shrock,conductor
Peggy Rosenkranz,conductor
Reverend Madison C. Peters,speaker
Constance Shulman,narrator
H. Henry Behrnam,actor
Sir Adrian Boult,conductor
John Buffalo Mailer,speaker
Marc Jacobs,speaker
Peter Feranec,conductor
Christopher J. Cyphers,speaker
Jeremy Francisco,conductor
L.C. Frank,speaker
Joe Guercio,conductor
William J. Standifer,conductor
Calvin Jones,director
Frederick Frank,conductor
Richard E. Parks,reciter
Jennifer Paulson Lee,dancer
Lynne Jackson,conductor
Max Rudolf,conductor
Jane Lamplighter,ballet dancer
Sara Salsbury,conductor
Vera Fokina,dancer
Ossie Davis,speaker|actor|host|narrator
Ben B. Lindsey,speaker
Michelle Natalie McCallum,speaker
Gene Oliver,dancer
Horace Johnson,speaker
Loulla Gorman,conductor
Rinaldo Alessandrini,conductor
Douglas Turner Ward,narrator
Matthew Kraemer,conductor
Hugh Dillman,actor
Charles J. McKenna,speaker
Vera Stern,speaker
Joseph Colaneri,conductor
Abraham Ellstein,conductor
Gloria Foster,actor
Maurice Edwards,actor|host|narrator
William L. Kutcher,speaker
Giselle Elgarresta Rios,conductor
Dave Chappelle,comedian
Dr. Ernest Gignoux,sabre
Charlotte Pratt,speaker
Rose Longwitz,conductor
Dorothy Barman,dancer
James Preiss,conductor
W. Sanford Evans,speaker
Millie Krittner,actor
Alfredo Silipigni,conductor
Francis D. Gallatin,speaker
Elizabeth Gilfillan,dancer
George Faison,host
Marilyn Laurie,speaker
Stephanie Cheong,conductor
Max Weinberg,director
Ernst A. von Fintel,speaker
Vaclav Neumann,conductor
Peggy Bayer,actor
Thomas S. Louden,actor
Sonny Steffan,conductor
Urey Krasnopolsky,conductor
Licia Albanese,speaker
Stanley Koor,speaker
Kathleen L. DeBarry,conductor
Paul Szilard,dancer
Isabelle Trunkett,actor
John Henry Faulk,speaker|host
Paul Brandvik,conductor
Louis Wainwright,actor
Kevin Meidl,conductor
Patricia Smith,speaker|narrator
Rosetta Fischer,actor
Mary Wigman,dancer
Heinz Froehlich,conductor
Augustus Noble Hand,speaker
Larry Matysiak,conductor
