name,inst
Temur Kvitelashvili,guitar|vocalist
Tom Richley,percussion
Bryan Ho,piano
Kathleen Saraceni,piano
Soyung Yu,soprano
Katsurako Mikami,piano
Josette Roux,violin
Nellie Kouns,soprano
Kim Eli,piano
Ronit Amir Lowenthal,piano
Ina Zdorovetchi,harp
Henri Leon Leroy,clarinet
Walter R. Dallow,piano
Angeles Blancas,soprano
Rona Goldensher,violin
Dorothy Pietracatella,soprano
David Michael Wolff,piano
Susan Hinshaw,soprano
Dolores Ferraro,soprano
Justin Bellairs,alto saxophone|soprano saxophone
Dorothy Kennedy,piano
Rachel Z,piano|synthesizer
Margaret Gawrysiak,mezzo-soprano
Christi L. Corey,surrogate kithara
Kazan Zenmura,bamboo flute
Serena Guthrie,clarinet|percussion
Rex Lawson,pianola
Rick Hilsabeck,vocalist
Barbara Stevenson,soprano
David Keim,trombone
Akiko Saito,guitar
Yerba Buena,unspecified
Melvin Strauss,organ
Christel Barberi,piano
Katheryne Raboch,piano
Andrew Wentzel,bass|bass-baritone
David Fox,tenor
Nitanju Bolade,vocalist
William Stokking,cello
E. C. Towne,tenor
Ronald Gould,percussion
Lloyd Greenberg,clarinet
Helen Yorke,piano|soprano
Russ Kassoff,piano
Matt Bogart,tenor
Young-Im Choi,piano
Marion Hersh,violin
Mercedes Sosa,vocalist
Claudia Rosenthal,soprano
Kalen Yamaguchi,vocalist
Joseph Phillips,unspecified voice
Yvette Le Bray,soprano|mezzo-soprano
Grace Underwood,soprano
Steve Rosen,vocalist
Amanda Shires,fiddle
Ginger Barao,piano
Hedva & David,vocalist
Max Hamlisch,accordion
Timothy Shew,vocalist
Adam Bonanni,tenor
Jessica Meyer,viola
Barthold Kuijken,flute
Adeline Tomasone,flute|alto flute
Kerry Kennedy,piano
Grover Wilson,piano
Vito Cuscuna,clarinet
Anton Hodousek,violin
[first name unknown] Taylor,unspecified voice
Bessie H. Mecklem,harp
Virginia Eskin,piano
P. Poveromo,unspecified voice
Ralph Olsen,trombone|alto saxophone
Dorothy Blumberg,piano
Rahul Satija,violin
Mrs. [first name unknown] Leith MacGregor,piano
Wilbur Hall,trombone|bicycle pump
Reinald Werrenrath,bass|baritone
Virginia-Gene Rittenhouse,violin
Norman Atkins,baritone
Eigil Silju,bass
Mihaela Buhaiciuc,soprano
Diana Seo,piano
Yukio Ishizuka,piano
Hyung Woo Choi,piano
Becker Delos,tenor
Ludwig Baumann,baritone
Madeline Schiller,piano
Maximillian Antig,piano
Amy Gluck,mezzo-soprano
Denis Comtet,organ
Michael Rosenker,violin
Joseph R. Wilson,tuba
Wing Hay Lam,baritone
Nancy De Cicco,piano
Don Elliott,vocalist
Daniel Kool,piano
Shelly Thomas,vocalist
Xingyuan Xu,viola
Lonnie Liston Smith,piano
Billie Lynn Daniel,soprano
Terry Cox,drums
Mary Charlotte McClung,flute
Katherine Ciesinski,mezzo-soprano
Kathryn Ward,soprano
Harry Kaufman,piano
Jay Siegel,vocalist
Reed Kennedy,baritone
David Nyberg,percussion
Rachel Franklin,piano
Joey Curcio,guitar
Arthur Bersamin,piano
Michele Lee,vocalist|violin|viola
Ji Hwa Lee,violin
Jeff McClendon,baritone
Nellie McCoy,soprano
Nancy Rossow,unspecified
John Kirkpatrick,piano
Harold Brindel,tenor
Yisroel Shapiro,vocalist
Moon Jung Lee,piano
Eugene Basabe,piano
Anthony Degoian,violin
Wyman Carter,baritone
Humberto Ridolfi,violin
Alida White,soprano
Darel Stark,violin
Susan Winterbottom,violin|viola
A. Jessie Liddell,contralto
Lauren Frankovich,vocalist
Clara Seo,piano
Alexander Fiedemann,violin
Jeremy Jackman,countertenor
Ornette Coleman,violin|trumpet|alto saxophone
Leon Norris,piano
Seymour Fink,piano
Secondina De Salvo,piano
Miyuki Morimoto,soprano
Josephine Roselli,contralto
Blanche Bow,unspecified
Guy Braunstein,violin
David Rae Smith,piano|baritone
Michael Herrera,percussion
Tim Baley,piano
Linda Feldman,viola
Sergei Matusewitch,accordion
Rob Berman,piano
Byron Sean,piano|keyboard
Randy Cormier,guitar|vocalist
Judith Gray,soprano
Chiharu Iinuma,piano
Kanichi Suzuki,tenor
Martha Wade,piano
Justin Townes Earle,guitar|vocalist
Harvey Schmidt,vocalist
Max Zuckerman,guitar|electric guitar
William Joyner,tenor
Kit McClure,saxophone
Carl Braun,bass|baritone
Joan Petrella,soprano
John Paul Matzigkeit,baritone
Todd E. Ranney,piano
Andree Briere,double bass
Abu Dia,drums
M. Eisenberg,cello
Madoka Asari,piano
Hayk Arsenyan,piano
Kira Hall,violin
Marcel Beekman,tenor
Dan McAvoy,unspecified
Marijo Newman,piano|organ|harpsichord|celesta
Monte Morgenstern,clarinet
Kim Cornell Frie,vocalist
Hadrien Feraud,bass guitar
Stanley Clarke,double bass|bass guitar
Alexandra Nowakowski,soprano
Laura Eberwein,mezzo-soprano
Malcolm Shakleford,unspecified voice
George Gaynes,baritone|bass-baritone
Borislav Bazala,piano
Eric Ewazen,piano
Carol S. Goff,piano
Peter Kurz,bass
Leitizia Belmondo,harp
Erin Sarnes,piano
Anne Cochran,vocalist
Evelyn King,soprano
Barbara Sukowa,vocalist
Dwight Watkins,double bass|bass guitar
Curtis Stewart,violin
Elliot Lawrence,vocalist
Renato Bruson,baritone
So-Yeon Park,piano
Dmitri Creona,tenor
Jacques Pintel,piano
Beverly Butrie,soprano
Sonya Ovrutsky,piano
Kartik Seshadri,sitar
Meng Wang,viola
Rose Inghram,soprano
Robert Gansert,unspecified voice
Aaron Shapinsky,cello
Shelly O'Donin,flute
Helen DeWitt Jacobs,violin
Clifford Lowry,violin
Makayla Duyen Vu,piano
John Mac Master,tenor
Ted Roy,piano
Herb Warner,vocalist
Ani Mari Gonzalez,vocalist
David Burge,piano
Dennis Kim,violin
Jun Liu,piano
Thomas Pasatieri,piano
Laura Buchanan,soprano
Oscar Wagner,piano
Fousseyni Kouyate,medium bass ngoni
Blake Frank,piano
Thomas Yehudah Tirino,piano
Enrico Pizzato,violin
Giuseppe Campanari,baritone
Alex Nichel,balalaika
Ines Irawati,piano
Lydia Chernicoff,violin
Ryan Berndt,trumpet
Roby Lakatos,violin
Tatiana Dimitriades,violin
Gustavo Ovalles,percussion
Robert Carlwithen,organ
Ann Monoyios,soprano
Bruce Ferguson,trombone
Celeste M. Roy,bassoon
Valentina Crispi,violin
Kayoko Shinohara,piano
Gabriel Kahane,guitar|piano|vocalist|electric guitar|banjo|reed organ
Bob Muller,tabla
Herbert Lindo,piano
Margot Ward,soprano|lute
Dorothy Barnes,accordion
Hedwig Rosenthal,piano
Haarika Reddy,piano
Flora Gonzalez,vocalist
Frieda Weigold,mezzo-soprano
Larisa Avdeyeva,mezzo-soprano
Tom Ewing,guitar
Frank Chace,clarinet
Giacomo Simonelli,piano
Jeanne Behrend,piano
Patricia Hackbarth,French horn
Sondre Fjose Sandberg,violin
Anthony Evans,baritone
Richard Ranti,bassoon
Joe Lovano,tenor saxophone|saxophone|soprano saxophone
Soyoon Yim,piano
Chrystal E. Williams,mezzo-soprano
Masamichi Ito,vocalist
Dominique Labelle,soprano
Zhang Jianyi,tenor
Neal Coomer,vocalist
Benny Koonyevsky,drums|percussion
Alissa Margulis,violin
Aurora Tirotta,soprano
Neill Caldwell,unspecified voice
Marie Kula,piano
Christy O'Leary,vocalist|whistle|uilleann pipes
Douglas Levine,piano
Demian Cabaud,double bass
Zachary DePue,violin
Christina Asher,mezzo-soprano
Paul Mueller,piano
The Four Huntings,unspecified
Ayoka Singleton,piano
James Beal,tenor
Roberto Martinez,saxophone
Bruno Pizzamiglio,oboe
Patrick J. Cooney,unspecified voice
Ralph Jones,organ|electric organ
Tanimichi Sugita,piano
Philippe Giusiano,piano
So Hyun Ahn,piano
Doug Balliett,double bass
Rudolf Koelman,violin
Fantanicchio,vocalist
Mandhira de Saram,violin
Joel Evans,oboe
Robert Rudie,violin
Frank Goodlette,double bass
Ann Wu,piano
Leonard Ulisse,tenor
Eyvind Laholm,tenor
Becky Stockton,vocalist
Arkadie Kouguell,piano
Durval Pereira,pandeiro|zabumba
Ferald Capps,English horn
Miyun Chung,violin|viola
Harold I. Williams Jr.,electric keyboards
Maurice Sheyne,piano
Andrew McGee,violin
Harrison Li,piano
Sun Ra,piano
Charles Perry Sprawls,bass-baritone
Tatiana Viscun,piano
J. H. Durham,bass
Brian Hilt,tenor
Ruth Posselt,violin
Judson Hurd,piano
Polina Pasztircsak,soprano
Patrisa Tomassini,violin
Kim Criswell,vocalist
Kiri Deonarine,soprano
Susan Jolles,harp
Jonathan Reinhold,baritone
Azusa Henmi,soprano
Galina Novikova,piano
Zane Massey,tenor saxophone
Samuel Mayes,cello
Michael Wayne,clarinet
George S. Sturges,tenor
Viveck Kamath,viola
Gayle Dixon,violin
Paul Maynard,harpsichord
Jacqueline Schiller,piano
Theresa Wolfe Rashkis,soprano
Grace Hazard,unspecified voice
Sergei Kvitko,piano
Larry Franklin,fiddle
Caitriona Yeats,harp
Otto Deri,cello
Kate Aldrich,mezzo-soprano
Joseph Schor,violin
Francesca Hilditch,piano
Nina Landi,vocalist
Clarke Salonis,bass
Louise Ryan,vocalist
Wendy Chang,piano
Jason Kim,piano|piano|viola
Elin Kolev,violin
William Zevy,baritone
James Cooke,violin
Phineas Newborn Jr.,piano
Eric Sabatino,harp
Virginia Burward-Hoy,cello
Julia Teck,piano
Hari Chang,cello
Beatrice Eberhard,violin
Beyoncé,vocalist
Marc Cardiff,baritone
Thomas Belbas,tenor
Marie Rupperts,contralto
Ilmar Lopez-Gavilan,violin
Yvonne Chalfonte,soprano
Russell L. Christopher,baritone
Otto Roth,violin
Yin Ma,piano
Ronald Sadoff,piano
Andrew Oakden,baritone
Doris Hoyt,violin
Victorina Hayes,soprano
Bill Ives,tenor
Bono,vocalist
Eugene Guilfoyle,boy solo unspecified
Crystal Medina,clarinet
Fred White,bass
Heinrich Meyer,baritone
Robert Violette,baritone
Michael Bulychev-Okser,piano
Roy Bogas,piano
Marshall Sealy,French horn
Madeline Safran,unspecified voice
Rick Mestler,vocalist
Gurgen Simonyan,clarinet
Vilhemas Cepinskis,violin
Aleksei Sobolevsky,violin
Aziz Alami,vocalist|tar
Florence Huang,piano
Sharon Simms,soprano
Salar Nader,tabla|zerbaghali
Min Young Cho,soprano
Beste Tiknaz,viola
Lisa Grey,piano
Heather Hawk,soprano
Alberto Mizrahi,tenor|cantor
Carl von Bitterl,bass
Sara Manzato,double bass
Joseph Lozier,piano|harpsichord
Kathleen Mulligan,piano
Joshua Koffman,vocalist
Morley Kamen,vocalist
Rollie Borden Low,soprano
Michel Ange Bazile,vocalist
Akiomi Meguro,soprano saxophone
Russell Caspe,piano
Doris Holloway,piano
Kyoung-Soon Kwon,piano
Laura Ward,piano
Joseph Andrew Yu,tenor
Guenther Schlund,French horn
Christina Lewis,piano
Mildred Graham,soprano
Antonio Carlos Jobim,guitar|piano|flute|vocalist
Francesca Martin Silos,viola
Anton Miller,violin
Douglas James,guitar
Cooper-Moore,flute|woodwinds
Thomas Frank,piano
Sohra Kim,piano
Carlos Cordeiro,clarinet
Jens Peter Maintz,cello
Thomas Boyer,unspecified voice
Karl Farkas,vocalist
Kevin Priebe,piano
Tim Landers,double bass
Celeste Niehaus,soprano
Ernesto Consolo,piano
Borys Kekish,tenor
Akane Yajima,piano
Christine Sokolowska,soprano
Diana Zhu,piano
Berl Senofsky,violin
Herbert Tichman,clarinet
James Leary,double bass
Salley Koo,violin
All-City Steel Band,steel drums
Herman Buller,viola
Lindsey Jelin Lee,violin
Raul Malo,vocalist
Lu Zhang,guzheng
Alexander Trouzenhoff,tenor
Charlotte Blake Alston,storyteller
Douglas Keith,oboe
Ruth Stuber,marimba
Eun-Mi Kim,piano|kayagum|charango
[first name unknown] Cardenas,piano
Lance Marshall,piano
Dumitru Baicu,vocalist
David Bittings,bass
Laura Carasimu,piano
Laurel Hurley,soprano
Karen Ziemba,vocalist
Suzanne Gilman,violin
Tiago Garcia,bass guitar
Grace Spence,piano
Craig Watson,trombone
June De Toth,piano
Natalia Zagorinskaya,soprano
Emily Shyr,oboe
Eliot Fisk,guitar
Mary Evelyn Bruce,soprano
Catherine Remus,piano
Sho Mei Pelletier,violin
Vladimir Sokoloff,piano
Ingrid Zeldin,soprano
Mabel Worth,vocalist
Barbara Cavanaugh,unspecified
Anna Menzies,cello
Alexander Federov,balalaika
Steve Gadd,drums
Edward Leung,piano
[first name unknown] Healy,harp
Weiling Shao,soprano
Truman Liu,piano
Norman Lloyd,piano
Heidi Krall,soprano
Selig Posner,violin|viola
Emilio Terilli,violin
Plunket Greene,bass
Steven Cahill,piano
B.J. Crosby,vocalist
Hae Ryung Kim,piano
Franz von Vecsey,violin
Shellie Johnson,piano
Tamami Aburakawa,piano
H.R. Humphries,unspecified voice
Agnes McGregor,unspecified voice
Harry Richman,vocalist
Agnes Park,violin
William Wahman,tenor
Paul Vellucci,piano
Avishai Cohen,trumpet|double bass
John Coakley,guitar|piano
Sally Peck,viola
Adelaide Boatner,contralto
Meng-Chieh Liu,piano
Simon Ghraichy,piano
Richard Tunnicliffe,viol
Alice Morini,piano
Doug Lancio,guitar
Cliffton Hall,vocalist
Steve Coleman,alto saxophone
John Moriarty,piano
Ida Nicolosi,soprano
Jaime Gonzalez,piano
Sidney Schneider,violin
Jiri Doubrava,trombone
Derrick Alton,tenor
Jeanita Vriens,violin
Jeremy Aye,baritone
Alex Huang,piano
Louis Michaels,piano
Toots Paka and Her Hawaiians,unspecified
Mike Bono,guitar
Andrew Schroeder,baritone
Sherri Rottersman,guitar
Min Soo Cho,piano
Scott Colley,double bass
Irving Joseph,piano
Amaliya Shahinyan,vocalist
Steve Dumaine,tuba
Jonathan Sessions,baritone
Ilonka Rus,piano
Hamish MacKay,baritone
Angela Butler,unspecified voice
Christian Verfenstein,piano
Mark Kibble,vocalist
James Boyd,viola|cello
Benjamin Kim,piano|violin|piano|cello
Mathilda Gerlach,soprano
Eunchong Na,flute
Andrea Kim,piano
Marie Caslova,violin
Timothy Perry,clarinet
Tae Hun Kim,piano
Andree De La Garza,flute
Joanne Wosahla,soprano
Ronnie Spector,vocalist
Christine Wittlesley,soprano
Lillian Acree,unspecified voice
Gustav Kedves,French horn
Cecelia (Lael) Calloway,vocalist
Arnett Cobb,tenor saxophone
Eugen d' Albert,piano
Alessandro Borgomanero,violin
Emilio Agramonte,piano
Jose Layo Puentes,double bass
Gershon Kingsley,piano
Charles Russell,cello
Linda Nxumalo,tenor
Maggie Charles,vocalist
Frank Patterson,tenor
Treble Choir of Houston at Christ Church Cathedral,womens chorus
Uba Kanuka,mezzo-soprano
Carlyne B. Turner,piano
Amy Haworth,soprano
Sherry Sylar,oboe
Ryan Ferguson,piano
"Estelle ""Mama"" Yancey",vocalist
Gernot Winischhofer,violin
Carl Nicholas,tenor
Mi-Kyung Chu,soprano
Anthony Yoon,piano
Walter Carringer,tenor
Oszkar Nemeth,double bass
Milka Ternina,soprano
Lyle Nordstrom,theorbo
Olga Sitkovetskaya,piano
Matthew Gulino,piano
Quinto Maganini,flute
Francesca Adamo,soprano
Manfred Hecht,baritone
Paul Alemann,bass clarinet
Mark Urbina,baritone
Kirsten MacKinnon,soprano
Thomas Stacy,English horn
Janna Baty,soprano|mezzo-soprano
Dmitri Korneev,piano
Ernest Hansen,accordion
Bernhard Stavenhagen,piano
Arthur B. Adamini,tenor
William O. Smith,clarinet
Terry Murray,piano
Arnau Tomas Realp,cello
Devlin Stark,vocalist
J.C. Moses,drums
Jean Sexton,vocalist
Andrew Jin,piano
Ben Larsen,cello
B. Matik,tenor
Florence Mulford,contralto|mezzo-soprano
Lodovico Oliviero,tenor
Carlos Wilson,vocalist|trombone
William M. Kincaid,flute
Placido Domingo,tenor
Misha Piatigorsky,piano
Giuseppe Costa,tenor
Samuel Katz,violin
Haine Cho,piano
Stephane Mangiantini,vocalist
Ho Ahn,cello
Ned Mann,double bass
Reginald Evans,baritone
Marie-Annick Nicolas,violin
Harold Rome,piano
Mariana Green-Hill,violin
David Wilder,bass
Ben Bliss,tenor
Lucy Marsh,soprano
Ángel Romero,guitar
Hee-Youn Choue,piano
Deborah Fair,soprano
Grace Shim,cello
Kamala Sankaram,soprano
Gregory Mason,piano
Asaf Blasberg,piano
Leslie Jay,clarinet
Kimani Emanuel,piano
Jack Norworth,vocalist
Rodney Menn,piano
Helen Stover,soprano
Jules Conus,violin
Jonathan Miller,cello
Abraham Kopitz,piano
Richard Hodges,saxophone
Bruce Harris,trumpet
Wiley Rankin,harmonica
Bellocairo,piano
Marc Sonnaert,viola
Sabina Micarelli,violin
Douglas Robinson,tenor
Belinda Kelp,piano
Olivia Smith,soprano|mezzo-soprano
Louis Armstrong,vocalist|trumpet
Taylor Schlesinger,viola
Diana Cataldi,soprano
Carolyn Kiel,alto
Ray Goodwax,baritone
Evan Dando,vocalist
Eugenia Kim,piano
Wayne J. du Maine,trumpet
Colleen Daly,soprano
Sweetie Tien,piano
Jon Pilatzke,fiddle
Noriko Ogawa,piano
Juan Manuel Canizares,guitar
Jasmine Morris,vocalist
Hank Brown,drums
Jeanne Weger Larson,flute
Jeremy Kittel,violin
Sam Caplan,violin
T. Ray Lawrence,baritone|bass-baritone
Ida Davidoff,unspecified voice
Andrew Niehoff,French horn
Yoo-Jung Kim,piano
Cliff Almond,drums
Irina Voro,piano
Celine Leathead,violin
Kewej Wang,baritone
Malena Dayen,mezzo-soprano
An Yao,zheng
Mikhail Kopelman,violin
[first name unknown] Kingsley,unspecified voice
Georgie Butcher,unspecified voice
Nicholas G. Wasilevsky,tenor
Carmela Cecere,piano
Richard Dyer-Bennet,guitar|vocalist
Rita Dowd,violin
Stephan Punderlitschek,cello
Julian Schwarz,cello
Alexander Borovsky,piano
Wesley Shi,piano
Sandra Schulze,mezzo-soprano
Kenny Wheeler,trumpet
Philip Bosco,vocalist
Kohei Kawaguchi,piano
Gertrude Carl,unspecified voice
John Ellis,piano|tenor saxophone
Tim Sullivan,tenor
Harry Haynes,tenor
Roger Andrews,baritone
Maryann King,soprano
Giorgio Zagnoni,flute
Rosa Rimoch,soprano
Donna Hall,soprano
[first name unknown] Blackburn,unspecified voice
Marina Kitaychik,violin
Katherine Wolfe,violin
Alice Ju,violin
Marco de Santi,guitar
Dave Dana,guitar
Mirdza Narun-Bogdanovics,piano
Emily Yaffe,viola
Orrea Pernel,violin
Peter Becker,countertenor|bass|bass-baritone
Frank Chafono,bass guitar
Paul Furey,accordion
Gaele Le Roi,soprano
Ryan Delisi,percussion
Yanko Valdes,double bass
Henry Mathusek,bass
Mizuki Hayakawa,cello
Moshe Zaar,vocalist
Majed Ridha,violin
Leonard Sorkin,violin
Melvin Stecher,piano
Judith Hubbell,soprano
Elsa Moltzer,mezzo-soprano
Ralph Freundlich,flute
Lorena Tecu,piano
Deysi Fonseca,piano
W.H. Pinckney,unspecified
Amy Johnson,soprano
Helen Marshall,violin|soprano
Sarah Best,mezzo-soprano
Philip Mangano,violin
Dininho Silva,bass guitar
Sung Kyung Kim,piano
Zhang Qi,piano
Justin Bumgardner,piano
Michael DeVries,vocalist
Mary Feinsinger,mezzo-soprano|synthesizer
Anthony Ross,cello
Barry Horowitz,piano
James Myles Jr.,unspecified
Theresa O'Neill,piano
Donald C. Sheldon,baritone
David Hayes,fiddle|keyboard
Park West Campus: Students,unspecified
Zhong Ma,piano
David Small,baritone
William Connors,tuba
Haywood Henry,baritone saxophone
Marjorie Mendel,baroque violin
May Korb,soprano
Norma Sabel,soprano
Helen Yasinsky,accordion
Enriquetta Crichton,soprano
Kathleen Edwards,vocalist
Diane Moussalli,vocalist
Charles Badami,piano
Elaine Petrosino-Roehm,flute
Masan Female Choir,womens chorus
David Gotay,cello
Ding Huang,violin
Lorenz Ehrsam,piano
Reginald Bean,piano
Satoko Sasagawa,piano
Michael Drumheller,drums
Edith L. Davies,contralto
Lucille Smith Morris,piano
Roman Markowicz,piano
Hanbo Liu,piano
Michael Nyrop,piano
Adam Camey,alto saxophone
Albert Wong,piano
Carol Owenby,harp
Remy Loumbrozo,piano
Louis Bremer,bass trombone
Alfred Patten,piano
Nicole Sbarra,piano
Craig Coyle,piano
Amy Buckley,soprano
Kathleen Silloway,soprano
Valerie Holmes,piano|flute
Martin Qvist Hansen,piano
Jerzy Klocek,cello
Agnieszka Wilczynska,vocalist
Darryl Duff,bass-baritone
Aaron Bell,double bass
Jennifer Fritz,clarinet
Beata Moon,piano
Helen Thigpen,soprano
Catherine Christensen,soprano
Jiaxi Jessica Sun,piano
Mr. [first name unknown] Cameron,bagpipes
Yurie Minamiya,violin
Shoko Kinsella,piano
Charlie Brock,baritone
Ross Fisher,bass
Pablo Sekou Dembele,djembe
Esther Bae,piano
Carleton Spotts,cello
Paul Shaffer,vocalist|keyboard
Alanna Jentgen,unspecified voice
Darrell Morrow,piano
C. Thomas Shaw,cello
Suki Guerrier,piano
Desmond Kincaid,piano
Marnee Hollis,soprano
Thomas Otten,piano
Nancy Nagano,cello
David Brundage,bass
Seynabou Diop,vocalist
Michael Torke,piano
Donald Hulme,accordion
Anne Albritton,piano
Gregory Walczak,bass
C. Carrol Clark,unspecified voice
Gregory Stafford,vocalist|trumpet|cornet
Tino di Geraldo,percussion
Daniel Stein,flute
Anthony Cox,double bass
William Leigh Ulyat,guitar
Charenee Wade,vocalist
Patrick Warren,piano|harmonium
Jung Eun Kee,violin
Marie G. Kunz,vocalist
David Grillier,clarinet
Katrina Mateo,piano
Barbara Sucoff,piano
Hannah Young,harp
Alan Bern,piano|accordion
Carlos Seise,tenor
Mark Nicholson,tenor
Rudy Royston,drums
Diane Orson,violin
Randolph Bowman,flute|alto flute|piccolo
Charles Schlueter,trumpet
Harold Farberman,percussion
Keith Lynch,baritone
Allison Drake,piano
Emily Shaw,oboe
Charles McCracken,cello|bassoon
David Mattingly,piano
Daniel Grabois,French horn
Patricia Sheridan,soprano
Xiaoya Liu,piano
Christine Gordon,soprano
Charlotte Hellekant,mezzo-soprano
Michael Heller,piano
Felix Guenther,piano
Timothy Larrigan,percussion
Joey Tartell,trumpet
Taffy Douglas,vocalist
Ruth Morris,soprano
Gary Hammond,piano
Alexander Butler,tenor
Alina Godunov,soprano
Cornelia Iredell,alto
Margaret Spencer,violin
Mark Rehnstrom,baritone
Carlos Escalona,clarinet
Michelle Abdallah,piano
Jonathan Hastie,violin
Chad Sloan,baritone
Dr. Thomas Green,vocalist
Dickie Landry,flute|soprano saxophone
Barney MacGinley,vocalist
Udi Bar-David,cello
Dayton Colie,vocalist
Joseph Piastro,cello
Jenny Douglas,viola
Marie Deutscher,violin
Suzanne Macahilig,piano
W. H. Hirschmann,bass
Francesca Marni,soprano
Willy Tyroler,piano
John Dankworth,clarinet|alto saxophone
Ismael Vasquez,violin
Noah Weber,clarinet
Jonathan Vick Altman-Ezzard,piano
Janice Felty,mezzo-soprano
Kansas Fields,drums
Judith Pannill,soprano
Gun-Brit Barkmin,soprano
Josef Gustern,bass
Dominic Miller,guitar
Rui Texeira,baritone saxophone
Graciela Beretervide,piano
Jason Stewart,double bass
Jeremy Martin,violin
Paul Alexander,piano
Laila Storch,oboe
Morgan Price,tenor saxophone
Mayu Sasada,piano
Joanna Dudley,vocalist
Mary Lou Saetta,violin|viola
Tim Anderson,trumpet
Mark Bzdick,bass
Wayne Jundt,bass
Herman Dutschke,French horn
Ashley Brown,vocalist
Rod Thomas Squance,percussion
Rose R. Lefkowitz,violin
Abukhai Aminov,vocalist
Rosemary Waltzer,French horn
Piotr Skweres,cello
Patrick Greene,tenor
Konrad Elias-Trostmann,violin
Zev Katz,double bass|bass guitar
James March,clavier a lumieres
Jeff Hanna,guitar|vocalist
Benny Goodman,clarinet
Tom Jennings,piano
Shannah Cumming,soprano
Naoko Ichihashi,piano
Hyunkee Sung,viola
Natasha Novitskaia,mezzo-soprano
Norman Schweikert,French horn
Julius Epstein,piano
Joe Coots,vocalist
Susan Morton,piano
John Briggs,piano
Leland Frazier,piano
Fiona Lee,piano
William Salter,double bass
Dr. Timothy Schorr,piano
Hae Jeon Lee,piano
La Var Jenson,piano
Joseph Joubert,piano
Steven Rhindres,tuba
Sean Grissom,cello
Peter Papiewski,piano
Marc Belfort,baritone
Steven J. Lubiarz,violin
Emma Denton,cello
Julie Cooper,violin
Harriet Behnee,soprano
Barry Ries,trumpet
Buck Graves,dobro
[first name unknown] Grener,clarinet
Stanley Facey,piano
Irving Marsland,bass
Ralph Dorsey,percussion
Anna Stoytcheva,piano
Andrei Popov,tenor
Carolina Seitz,violin
Thomas Perri,tenor
Yulia Musayelyan,flute
Louise Colusso,piano
Hank Mobley,tenor saxophone
Andrei Licaret,piano
Leslie Schipa,mezzo-soprano
Lorena Iniguez,jarana|Mexican vihuela
Norman Dello Joio,piano
Breanna Sung,piano
Michael G. Schallock,tuba
Stella Han,piano
Billy Bang,violin
Vina Bovy,soprano
Young Ok Kim,vocalist
Sylvia Lent,violin
Joe Heukerott,vocalist
[first name unknown] Stein,unspecified voice
Rudy Wiedoeft,saxophone
Lisa Shihoten,violin
Stan Karpenia,violin
Moreno Veloso,vocalist|percussion
Lidia Paulinova,mezzo-soprano
Eric Albinder,clarinet
Yacouba Traore,karinyan
Mary Lee Taylor Kinosian,violin
Bob Ritter,cornet
Hae Lim Jin,piano
James Albright,double bass
Richard Rood,violin
Lewis McBride,guitar
Charles E. Richard,piano
Frank Gardiner,vocalist
Minhee Sung,cello
Janos Pilz,violin
Jean Prostean,violin
Nadia Shpachenko,piano
Gertrude Rossbacher,viola
Stephanie Turash,soprano
Marie McCarville,soprano
Mary Forrest,soprano
M.D. Stafford,unspecified voice
Dirk Luijmes,harmonium
Catherine Ferretti,piano
Xinmin Zhang,unspecified
Lew Tabackin,flute|tenor saxophone
Imogene King,vocalist
Helge Kjekshus,piano
Warren Witschi,violin|alphorn
Ushi Shapiro,vocalist
Paata Burchuladze,bass
Gary Cobin,piano
Ruth Golden,soprano
San Hoon Lee,tenor
Alex Richardson,tenor
Zhijun Liu,percussion
Mario Berini,tenor
Beatrice Harrison,cello
Rena Panush,soprano
Elio Scaccio,tenor
Elisabeth Papageorgiou,soprano
David Littrell,cello
Andrejs Golikovs,violin
Bridget Kearney,vocalist|double bass
Kyoko Harada,piano
Lav Milutinovich,cello
Robert Walker-Lacomba,clarinet
Eleanor Bergquist,soprano
Paul Gavert,baritone
Sahoko Sato,mezzo-soprano
Wilhelm Melcher,violin
Ronald Forsmo,tenor
Alois Posch,double bass
Vernon Hartman,baritone
Christina Long,piano
Ernie Collins,tuba|double bass
Douglas Cohen,vocalist
Matt Tosca,violin
Robert Pedrick,vocalist
Rebecca Eaddy,vocalist
Brandon Seabrook,guitar|mandolin|banjo
Thomas Novak,bassoon
Daniel Wiesner,piano
Viola Harris,soprano
Seiji Anderson,piano
Juno Suk,violin
Inga Laure,soprano
Lauren Riley Rigby,cello
Jim Cullum,cornet
[first name unknown] Rosano,unspecified
Giorgio Tozzi,bass|bass-baritone
Walter Legawiec,violin
John Silver,baritone
Kang Hee Lee,piano
Sungduk Lee,piano
Grace Han,piano
Carolee Carmelo,vocalist
Adriana Linares,viola
Bjon Li,piano
Julian Milkis,clarinet
Elena Kawazu,violin
Denise Lewis,flute
Thomas Homsey,clarinet
Grace Merritt,piano
Aida Pujol,mezzo-soprano
Lee Steelman,flute
Grace Cunningham,soprano
Stephen Stubbs,lute|baroque guitar
Richard Porterfield,baritone
Grisha Goluboff,violin
Maurizio Najt,piano
Nkosi Phillip Nathaniel,keyboard
Christopher Berg,piano|guitar
Carlos Almeida,7-string guitar
Desiree Ruhstrat,violin
Minsoo Sohn,piano
Frank La Forge,piano|harpsichord
Stefano Pagliani,violin
May A. Bushnell,piano
Russell Malone,guitar
